# Version 1.0
# - Intial design point for exponential PDF
# - Number of points per dimension: 10
# - Random Seed: 20210421
# Parameter AlphaS Q0 C1 C2 Tau0 C3
# - Parameter AlphaS: Linear [0.1, 0.5]
# - Parameter Q0: Linear [1, 10]
# - Parameter C1: Log [0.006737946999085467, 10]
# - Parameter C2: Log [0.006737946999085467, 10]
# - Parameter Tau0: Linear [0.0, 1.5]
# - Parameter C3: Log [0.049787068367863944, 100]
2.263766759886632063e-01 9.966467116974959239e+00 8.532045228839468365e+00 1.430578707000058902e-02 5.962654014460284646e-01 5.591012779396668797e-02
4.449167223963933493e-01 4.248424275652160631e+00 2.299196196349776733e-01 4.657161598416426629e-01 6.403056970706312578e-02 9.425277514266468870e+01
4.156883427233470929e-01 2.226614315420455625e+00 1.067703283896859201e+00 5.753464225489492101e+00 6.880847727843591999e-01 5.413209296804561177e+01
4.486435705419177244e-01 1.531754037834540672e+00 2.103967642917555989e-02 3.546564365348594983e+00 8.278692217967305034e-01 6.172662136935247457e-02
1.356646881983056829e-01 3.247700460928676147e+00 4.652376691903101769e-01 2.359179499008969394e+00 1.215034923337358630e-01 7.884846747649243426e-01
1.184976902078745536e-01 1.740608209974567888e+00 8.954831411182212264e+00 8.679680960516297089e-03 4.180703575802120486e-01 5.760587270906901702e-01
4.977424707404694004e-01 1.906476060369551639e+00 2.816141759376755260e+00 1.968645409872621377e-01 1.516917090475000396e-01 2.764759896198333777e+01
1.612346371191164529e-01 8.374722222359416435e+00 1.497606208958615903e-01 1.500431967897928598e-01 9.426958774307443445e-01 8.705331446259390304e+01
3.278273955688939534e-01 8.219759316018183881e+00 7.431538714169730886e-01 1.167749473019506212e-01 5.135884554335661267e-01 7.081069905543415643e+01
2.139893043314226584e-01 5.308896986497794401e+00 1.127161899441118997e+00 3.172358983108820168e-02 1.352043133643669570e+00 1.522323648410855323e+00
1.844020181313422713e-01 8.772667799478542250e+00 2.205486248647432479e+00 1.997345314359443957e+00 4.864575160382163532e-01 2.989064279301016924e-01
4.717624844148116114e-01 7.482026704946600937e+00 4.004204939523948736e-01 1.454365527290158999e+00 1.137117407178251050e+00 2.598525031301570198e+00
1.751003095221667083e-01 8.575877903942775049e+00 2.485082542241162873e+00 5.138168785482978285e-01 6.541443635040818938e-01 4.886386789467056069e+00
