# Version 1.0
# DOI https://doi.org/10.1016/j.physletb.2018.10.076
# Source https://www.hepdata.net/download/table/ins1673184/Table%2023/1/yaml
# Experiment ATLAS
# System PbPb5020
# Centrality 40-50
# XY PT [GEV] RAA
# Label xmin xmax y stat,low stat,high sys,low sys,high sys_TAA_uncertainty,low sys_TAA_uncertainty,high sys_luminosity_uncertainty,low sys_luminosity_uncertainty,high 
50 56 0.612 0.005 0.005 0.019 0.021 0.0427 0.0427 0.012 0.012
56 63 0.64 0.006 0.006 0.013 0.014 0.0427 0.0427 0.012 0.012
63 70 0.661 0.007 0.007 0.012 0.012 0.0427 0.0427 0.013 0.013
70 79 0.682 0.008 0.008 0.011 0.011 0.0427 0.0427 0.013 0.013
79 89 0.702 0.01 0.01 0.01 0.009 0.0427 0.0427 0.013 0.013
89 100 0.733 0.011 0.011 0.009 0.009 0.0427 0.0427 0.014 0.014
100 112 0.738 0.007 0.007 0.009 0.008 0.0427 0.0427 0.014 0.014
112 125 0.744 0.007 0.007 0.008 0.008 0.0427 0.0427 0.014 0.014
125 141 0.766 0.007 0.007 0.008 0.008 0.0427 0.0427 0.015 0.015
141 158 0.784 0.009 0.009 0.007 0.008 0.0427 0.0427 0.015 0.015
158 177 0.776 0.01 0.01 0.008 0.008 0.0427 0.0427 0.015 0.015
177 199 0.801 0.013 0.013 0.009 0.009 0.0427 0.0427 0.015 0.015
199 251 0.836 0.014 0.014 0.007 0.007 0.0427 0.0427 0.016 0.016
251 398 0.848 0.023 0.023 0.008 0.007 0.0427 0.0427 0.016 0.016
