# Version 1.0
# DOI https://doi.org/10.17182/hepdata.93908
# Source https://www.hepdata.net/download/table/ins619063/Table3/1/yaml
# Experiment STAR
# System AuAu200
# Centrality 10-20
# XY $p_T [GeV/c]$ $(d^2N/dpTd\eta (AuAu))/(TAA d^2\sigma/dpTd\eta (pp))$
# Label xmin xmax y stat,low stat,high sys,low sys,high
0.4 0.5 0.32 0 0 0.03 0.03
0.5 0.6 0.35 0 0 0.03 0.03
0.6 0.7 0.38 0 0 0.03 0.03
0.7 0.8 0.42 0 0 0.03 0.03
0.8 0.9 0.46 0 0 0.04 0.04
0.9 1.0 0.5 0 0 0.04 0.04
1.0 1.1 0.53 0 0 0.04 0.04
1.1 1.2 0.57 0 0 0.04 0.04
1.2 1.3 0.6 0 0 0.05 0.05
1.3 1.4 0.63 0 0 0.05 0.05
1.4 1.5 0.65 0 0 0.05 0.05
1.5 1.6 0.67 0 0 0.06 0.06
1.6 1.7 0.69 0 0 0.06 0.06
1.7 1.8 0.71 0 0 0.07 0.07
1.8 1.9 0.73 0 0 0.07 0.07
1.9 2.0 0.74 0 0 0.07 0.07
2.0 2.1 0.76 0 0 0.09 0.09
2.1 2.2 0.76 0 0 0.09 0.09
2.2 2.3 0.77 0 0 0.09 0.09
2.3 2.4 0.78 0 0 0.1 0.1
2.4 2.6 0.79 0 0 0.11 0.11
2.6 2.8 0.75 0 0 0.1 0.1
2.8 3.0 0.66 0 0 0.08 0.08
3.0 3.35 0.58 0 0 0.05 0.05
3.35 3.8 0.54 0 0 0.05 0.05
3.8 4.4 0.48 0 0 0.05 0.05
4.4 5.1 0.45 0 0 0.05 0.05
5.1 6.0 0.35 0 0 0.04 0.04
6.0 7.0 0.34 0 0 0.05 0.05
7.0 8.0 0.28 0 0 0.06 0.06
8.0 9.0 0.32 0 0 0.09 0.09
9.0 10.0 0.25 0 0 0.1 0.1
