# Version 1.0
# DOI https://doi.org/10.1103/PhysRevC.96.015202
# Source https://www.hepdata.net/download/table/ins1487278/Table%208d/1/yaml
# Experiment CMS
# System PbPb2760
# Centrality 30-50
# XY Jet $p_T$ RAA
# Label xmin xmax y stat,low stat,high sys,low sys,high 
70 80 0.646 0.003 0.003 0.083 0.083
80 90 0.703 0.003 0.003 0.092 0.092
90 100 0.739 0.003 0.003 0.097 0.097
100 110 0.753 0.003 0.003 0.097 0.097
110 130 0.753 0.004 0.004 0.099 0.099
130 150 0.755 0.005 0.005 0.101 0.101
150 170 0.78 0.01 0.01 0.1 0.1
170 190 0.79 0.01 0.01 0.1 0.1
190 210 0.805 0.011 0.011 0.096 0.096
210 240 0.804 0.012 0.012 0.084 0.084
240 270 0.794 0.019 0.019 0.071 0.071
270 300 0.788 0.026 0.026 0.06 0.06
