# Version 1.0
# DOI https://doi.org/10.1103/PhysRevC.96.015202
# Source https://www.hepdata.net/download/table/ins1487278/Table%208c/1/yaml
# Experiment CMS
# System PbPb2760
# Centrality 10-30
# XY Jet $p_T$ RAA
# Label xmin xmax y stat,low stat,high sys,low sys,high 
70 80 0.537 0.002 0.002 0.099 0.099
80 90 0.567 0.002 0.002 0.091 0.091
90 100 0.592 0.002 0.002 0.087 0.087
100 110 0.601 0.003 0.003 0.084 0.084
110 130 0.607 0.002 0.002 0.082 0.082
130 150 0.622 0.004 0.004 0.079 0.079
150 170 0.644 0.005 0.005 0.076 0.076
170 190 0.667 0.006 0.006 0.075 0.075
190 210 0.686 0.008 0.008 0.072 0.072
210 240 0.699 0.009 0.009 0.077 0.077
240 270 0.702 0.014 0.014 0.078 0.078
270 300 0.703 0.021 0.021 0.074 0.074
